epoch,lr-Adam,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_f1,val_f1_avg,val_iou,val_loss,val_roc_auc
,0.001,1536,,,,,,,,,,
,0.001,1549,,,,,,,,,,
16,,1549,,0.7578125,,0.5606067180633545,,,,,,
,0.001,1599,,,,,,,,,,
16,,1599,,0.7734375,,0.4838610887527466,,,,,,
16,,1631,,,,,0.7431640625,0.4280585050582886,0.6004593968391418,0.48207351565361023,0.6698544025421143,0.6041936278343201
16,,1631,0.7493489384651184,,0.5807602405548096,,,,,,,
,0.001,1632,,,,,,,,,,
,0.001,1649,,,,,,,,,,
17,,1649,,0.7578125,,0.5264573693275452,,,,,,
,0.001,1699,,,,,,,,,,
17,,1699,,0.7421875,,0.5235329270362854,,,,,,
17,,1727,,,,,0.7037760615348816,0.40589606761932373,0.5910237431526184,0.4625198543071747,0.7377079129219055,0.6002383232116699
17,,1727,0.7469075322151184,,0.5790035128593445,,,,,,,
,0.001,1728,,,,,,,,,,
,0.001,1749,,,,,,,,,,
18,,1749,,0.7578125,,0.6561072468757629,,,,,,
,0.001,1799,,,,,,,,,,
18,,1799,,0.71875,,0.8474019169807434,,,,,,
18,,1823,,,,,0.7395833134651184,0.4146590232849121,0.5946566462516785,0.4740265905857086,0.6881254315376282,0.6058844327926636
18,,1823,0.7535807490348816,,0.5650811791419983,,,,,,,
,0.001,1824,,,,,,,,,,
,0.001,1849,,,,,,,,,,
19,,1849,,0.765625,,0.5845998525619507,,,,,,
,0.001,1899,,,,,,,,,,
19,,1899,,0.7421875,,0.6065047383308411,,,,,,
19,,1919,,,,,0.7220051884651184,0.39186134934425354,0.5625227093696594,0.44412100315093994,0.727973222732544,0.6038600206375122
19,,1919,0.7591959834098816,,0.5616477131843567,,,,,,,
,0.001,1920,,,,,,,,,,
,0.001,1949,,,,,,,,,,
20,,1949,,0.6953125,,0.7851008176803589,,,,,,
,0.001,1999,,,,,,,,,,
20,,1999,,0.8046875,,0.49172207713127136,,,,,,
20,,2015,,,,,0.7216796875,0.38579773902893066,0.5553590655326843,0.43633970618247986,0.7432897090911865,0.609840989112854
20,,2015,0.7615559697151184,,0.5505528450012207,,,,,,,
,0.001,2016,,,,,,,,,,
,0.001,2049,,,,,,,,,,
21,,2049,,0.765625,,0.4491468667984009,,,,,,
,0.001,2099,,,,,,,,,,
21,,2099,,0.7578125,,0.4812295734882355,,,,,,
21,,2111,,,,,0.7347005009651184,0.39911317825317383,0.5773215293884277,0.4591105282306671,0.710411012172699,0.6092612147331238
21,,2111,0.7674967646598816,,0.5409494638442993,,,,,,,
,0.001,2112,,,,,,,,,,
,0.001,2149,,,,,,,,,,
22,,2149,,0.8046875,,0.5125674605369568,,,,,,
,0.001,2199,,,,,,,,,,
22,,2199,,0.71875,,0.49895426630973816,,,,,,
22,,2207,,,,,0.7060546875,0.3698086738586426,0.5260850787162781,0.409392386674881,0.7840673327445984,0.6030834317207336
22,,2207,0.7714030146598816,,0.5317603945732117,,,,,,,
,0.001,2208,,,,,,,,,,
,0.001,2249,,,,,,,,,,
23,,2249,,0.78125,,0.5333102941513062,,,,,,
,0.001,2299,,,,,,,,,,
23,,2299,,0.78125,,0.5004111528396606,,,,,,
23,,2303,,,,,0.7503255009651184,0.4216141998767853,0.5927995443344116,0.47666680812835693,0.6923726201057434,0.6097407937049866
23,,2303,0.778076171875,,0.5254517793655396,,,,,,,
,0.001,2304,,,,,,,,,,
,0.001,2349,,,,,,,,,,
24,,2349,,0.7578125,,0.49946972727775574,,,,,,
,0.001,2399,,,,,,,,,,
24,,2399,,0.7578125,,0.5273752808570862,,,,,,
24,,2399,,,,,0.7268880009651184,0.3933182656764984,0.5593062043190002,0.44565892219543457,0.7373752593994141,0.6046022772789001
24,,2399,0.7772623896598816,,0.5214416980743408,,,,,,,
,0.001,2400,,,,,,,,,,
,0.001,2449,,,,,,,,,,
25,,2449,,0.8203125,,0.38172978162765503,,,,,,
25,,2495,,,,,0.7353515625,0.3986380994319916,0.5683146715164185,0.4541926681995392,0.7365422248840332,0.6041572093963623
25,,2495,0.7815755009651184,,0.5153864026069641,,,,,,,
,0.001,2496,,,,,,,,,,
,0.001,2499,,,,,,,,,,
26,,2499,,0.7734375,,0.5522785782814026,,,,,,
,0.001,2549,,,,,,,,,,
26,,2549,,0.7890625,,0.47614341974258423,,,,,,
26,,2591,,,,,0.74609375,0.4080723822116852,0.568658173084259,0.45708850026130676,0.6883522868156433,0.6127551198005676
26,,2591,0.7859700322151184,,0.5102651715278625,,,,,,,
,0.001,2592,,,,,,,,,,
,0.001,2599,,,,,,,,,,
27,,2599,,0.7578125,,0.570093035697937,,,,,,
,0.001,2649,,,,,,,,,,
27,,2649,,0.734375,,0.5961213111877441,,,,,,
27,,2687,,,,,0.755859375,0.4190025329589844,0.5714708566665649,0.4625089466571808,0.6852073073387146,0.6080179810523987
27,,2687,0.783203125,,0.5036479830741882,,,,,,,
,0.001,2688,,,,,,,,,,
,0.001,2699,,,,,,,,,,
28,,2699,,0.7109375,,0.6097268462181091,,,,,,
,0.001,2749,,,,,,,,,,
28,,2749,,0.7109375,,0.6528126001358032,,,,,,
28,,2783,,,,,0.7506510615348816,0.4166126251220703,0.542941153049469,0.4361014664173126,0.7001256942749023,0.6073349118232727
28,,2783,0.7872721552848816,,0.49921873211860657,,,,,,,
,0.001,2784,,,,,,,,,,
,0.001,2799,,,,,,,,,,
29,,2799,,0.8828125,,0.33164650201797485,,,,,,
,0.001,2849,,,,,,,,,,
29,,2849,,0.765625,,0.4962010681629181,,,,,,
29,,2879,,,,,0.7526041865348816,0.4200783669948578,0.5801013112068176,0.4667786657810211,0.677182674407959,0.6104528307914734
29,,2879,0.7910969853401184,,0.4909496009349823,,,,,,,
